obsid,xid,dist_pc,wave,star_mjy,chi_star,ra_obs,de_obs,level,path
1342188518,V* V1252 Cen,57.59705103098722,70,0.449589,1.58915,188.76747562569457,-41.610809261669296,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292721/1342188518/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_1235_m4137_00_v1.0_1470516105266.fits.gz
1342188847,HD 97048,,70,1.4569800000000002,37.9921,167.01350006165654,-77.65485504479182,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292725/1342188847/level2/HPPPMAPB/hpacs1342188847_20hpppmapb_00_1469245377207.fits.gz
1342188848,V* DX Cha,108.38933448948623,70,7.5875200000000005,38.6292,180.0206578950649,-78.19295052935155,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292727/1342188848/level2/HPPPMAPB/hpacs1342188848_20hpppmapb_00_1469244410401.fits.gz
1342188853,HD 100453,102.77492291880779,70,2.38737,38.6658,173.27305844437245,-54.324612535230855,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292729/1342188853/level2/HPPPMAPB/hpacs1342188853_20hpppmapb_00_1469244505627.fits.gz
1342188854,TWA 16,,70,0.7520549999999999,1.40685,188.734369822078,-45.6355059975926,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292730/1342188854/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_1235_m4538_00_v1.0_1470526263270.fits.gz
1342188879,HD 100546,109.17030567685588,70,2.84235,38.6528,173.35568295887452,-70.19478936662038,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292732/1342188879/level2/HPPPMAPB/hpacs1342188879_20hpppmapb_00_1469247081925.fits.gz
1342188884,V* EH Cha,,70,0.22092499999999998,2.6346,130.40380853437895,-79.05840710141028,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292733/1342188884/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0842_m7903_00_v1.0_1470537767170.fits.gz
1342188885,HD 55279,63.41154090044388,70,0.764734,2.28139,105.127070611315,-79.69593960636831,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292734/1342188885/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0701_m7942_00_v1.0_1470538890852.fits.gz
1342188886,HD 53842,56.022408963585434,70,2.4471499999999997,1.88454,101.55690175791054,-83.99135729451869,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292736/1342188886/level2/HPPPMAPB/hpacs1342188886_20hpppmapb_00_1469245574804.fits.gz
1342188886,TYC 9493-2388-1,56.022408963585434,70,2.4471499999999997,1.88454,101.55690175791054,-83.99135729451869,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292736/1342188886/level2/HPPPMAPB/hpacs1342188886_20hpppmapb_00_1469245574804.fits.gz
