"obsid","xid","dist_pc","filter","wave","model_jy","star_jy","chi_star","ra_obs","de_obs"
1342238025,"V* EO Psc",23.39378286826493,"PACS70",70,0.0226752,0.00631147,7.12104,22.272062021372623,21.722549790787653
1342216123,"* eps Eri",3.216054544285071,"PACS100",100,1.52494,0.0950839,,53.229597945210735,-9.458197753750715
1342216123,"* eps Eri",3.216054544285071,"PACS70",70,1.82415,0.192823,15.3533,53.229597945210735,-9.458197753750715
1342228383,"* eps Aur",414.18157720344595,"PACS100",100,0.301829,0.139807,18.479,75.49220052945876,43.82328891805527
1342228383,"* eps Aur",414.18157720344595,"PACS70",70,0.559127,0.282106,16.3473,75.49220052945876,43.82328891805527
1342211789,"HD 200391",50.78230135233268,"PACS100",100,0.0021469,0.0021469,,315.6082466011685,27.807364693332612
1342211789,"HD 200391",50.78230135233268,"PACS70",70,0.00435156,0.00435156,-0.0252846,315.6082466011685,27.807364693332612
1342237848,"V* FF And",21.72321581797683,"PACS100",100,0.00185795,0.00185795,,10.702120638962233,35.54905436966712
1342237848,"V* FF And",21.72321581797683,"PACS70",70,0.0037598,0.0037598,0.930872,10.702120638962233,35.54905436966712
1342211953,"* alf PsA",7.7035667514059005,"PACS100",100,9.64037,0.157282,,344.41384896195717,-29.62274018832774
1342211953,"* alf PsA",7.7035667514059005,"PACS70",70,10.7198,0.321691,17.1844,344.41384896195717,-29.62274018832774
1342246681,"V* ZZ Psc",17.537829097363012,"PACS100",100,0.000127693,0.0000027124,-0.706207,352.19709680047293,5.247472436366
1342246681,"V* ZZ Psc",17.537829097363012,"PACS70",70,0.000278461,0.00000551675,,352.19709680047293,5.247472436366
1342225108,"GD 362",56.246133078350866,"PACS100",100,0.000019852,0.000000210263,3.2165,262.8930845510827,37.08838329778965
1342225108,"GD 362",56.246133078350866,"PACS70",70,0.0000383837,0.000000427031,,262.8930845510827,37.08838329778965
1342252011,"GJ 1214",14.553922282055016,"PACS100",100,0.000255641,0.000255641,0.654206,258.8309486514121,4.961253935141669
1342252011,"GJ 1214",14.553922282055016,"PACS70",70,0.00051055,0.00051055,,258.8309486514121,4.961253935141669
1342253029,"GJ 317",15.203483422121677,"PACS100",100,0.0012373,0.0012373,1.83438,130.24489779598136,-23.453405688622258
1342253029,"GJ 317",15.203483422121677,"PACS70",70,0.00247793,0.00247793,,130.24489779598136,-23.453405688622258
1342257175,"GJ 3634",20.3898540086453,"PACS100",100,0.000729623,0.000729623,-1.34889,164.6438092963177,-31.14427477084127
1342257175,"GJ 3634",20.3898540086453,"PACS70",70,0.00147094,0.00147094,,164.6438092963177,-31.14427477084127
1342270784,"Wolf 920",16.345210853220006,"PACS100",100,0.000947709,0.000947709,0.415065,321.82035016254235,-6.845759703726309
1342270784,"Wolf 920",16.345210853220006,"PACS70",70,0.00190977,0.00190977,,321.82035016254235,-6.845759703726309
1342270910,"BD+40 2208",32.583903551645484,"PACS100",100,0.00109561,0.00109561,-0.0647195,141.8687685854134,39.5043916296025
1342270910,"BD+40 2208",32.583903551645484,"PACS70",70,0.00221506,0.00221506,,141.8687685854134,39.5043916296025
1342246704,"G 263-10",21.906476868951074,"PACS100",100,0.00658612,0.001,1.88588,329.60537468149204,75.58913623861196
1342246704,"G 263-10",21.906476868951074,"PACS70",70,0.0024447,0.0020227,1.45146,329.60537468149204,75.58913623861196
1342224850,"GJ 3305",,"PACS100",100,0.00160539,0.00160539,1.16131,69.40623650808806,-2.491521162981987
1342224850,"GJ 3305",,"PACS70",70,0.00324811,0.00324811,-0.447538,69.40623650808806,-2.491521162981987
1342259254,"GSC 02284-00503",405.95948524337274,"PACS100",100,0.00620476,0.0000153554,7.01509,13.00089509454208,34.72840012034711
1342259254,"GSC 02284-00503",405.95948524337274,"PACS70",70,0.00205129,0.0000311353,,13.00089509454208,34.72840012034711
1342224186,"HD 100764",301.22296523886985,"PACS100",100,1.04335,0.00709487,39.6045,173.92812819390895,-14.593570251640916
1342224186,"HD 100764",301.22296523886985,"PACS70",70,1.83164,0.0141087,33.2314,173.92812819390895,-14.593570251640916
1342257037,"HD 107146",27.464982147761607,"PACS100",100,0.928188,0.00249743,19.4837,184.77643212617463,16.5477590277888
1342257037,"HD 107146",27.464982147761607,"PACS70",70,0.734287,0.00506474,31.9772,184.77643212617463,16.5477590277888
1342265490,"HD 120534",,"PACS100",100,0.104552,0.00118309,22.9606,207.667373912918,-31.206558303478918
1342265490,"HD 120534",,"PACS70",70,0.138491,0.00241209,,207.667373912918,-31.206558303478918
1342248726,"HD 121191",135.8695652173913,"PACS100",100,0.167947,0.000329484,,208.82851460501985,-53.528600687363294
1342248726,"HD 121191",135.8695652173913,"PACS70",70,0.239519,0.0006712,35.8868,208.82851460501985,-53.528600687363294
1342250784,"HD 131835",133.65410318096764,"PACS100",100,0.575953,0.000430147,38.5537,224.22684691466762,-35.69554922979447
1342250784,"HD 131835",133.65410318096764,"PACS70",70,0.655861,0.000871705,38.1756,224.22684691466762,-35.69554922979447
1342225413,"HD 131976",5.925223677193814,"PACS100",100,0.017502,0.017502,0.189378,224.36387943321898,-21.41694797323823
1342225413,"HD 131976",5.925223677193814,"PACS70",70,0.035232,0.035232,-1.25382,224.36387943321898,-21.41694797323823
1342249174,"HD 15115",48.16955684007707,"PACS100",100,0.460815,0.00191101,,36.56800231257767,6.292374462039185
1342249174,"HD 15115",48.16955684007707,"PACS70",70,0.465315,0.00388412,31.7038,36.56800231257767,6.292374462039185
1342269686,"HD 168210",79.38145966628034,"PACS100",100,0.0006709,0.0006709,,274.96756449209585,-29.275958571484985
1342269686,"HD 168210",79.38145966628034,"PACS70",70,0.00135684,0.00135684,2.21673,274.96756449209585,-29.275958571484985
1342231408,"HR 6985",38.81204104761461,"PACS100",100,0.00669765,0.00669765,,279.1159667402024,9.122067588687253
1342231408,"HR 6985",38.81204104761461,"PACS70",70,0.0136275,0.0136275,-0.482191,279.1159667402024,9.122067588687253
1342231931,"HD 180445",43.24997621251308,"PACS100",100,0.00124595,0.00124595,,289.55309695868414,-38.38486934190644
1342231931,"HD 180445",43.24997621251308,"PACS70",70,0.00254617,0.00254617,2.16259,289.55309695868414,-38.38486934190644
1342241422,"HD 183957",43.989108296785716,"PACS100",100,0.00122873,0.00122873,,292.90455107908406,11.723809122433464
1342241422,"HD 183957",43.989108296785716,"PACS70",70,0.00249128,0.00249128,0.980908,292.90455107908406,11.723809122433464
1342269728,"HD 201219",38.12428516965307,"PACS100",100,0.0347833,0.00118101,13.1318,316.9862058114348,7.43289829629559
1342269728,"HD 201219",38.12428516965307,"PACS70",70,0.0383406,0.00239406,,316.9862058114348,7.43289829629559
1342242647,"LTT 8444",24.42002442002442,"PACS100",100,0.155019,0.00338351,20.3033,319.6147566089165,-43.33457379860981
1342242647,"LTT 8444",24.42002442002442,"PACS70",70,0.116504,0.0068618,10.4606,319.6147566089165,-43.33457379860981
1342235408,"HD 203454",26.93268982159786,"PACS100",100,0.00460493,0.00460493,,320.25586039927873,40.34426071664632
1342235408,"HD 203454",26.93268982159786,"PACS70",70,0.00935077,0.00935077,0.746506,320.25586039927873,40.34426071664632
1342270737,"HD 205674",51.81347150259067,"PACS100",100,0.231492,0.00138727,20.3376,324.3381821608538,-18.441567240737122
1342270737,"HD 205674",51.81347150259067,"PACS70",70,0.208835,0.00284273,,324.3381821608538,-18.441567240737122
1342270949,"HD 218340",56.59309564233163,"PACS100",100,0.0152658,0.0006781,5.82579,347.0524082250816,-63.6283927629624
